Store,Age0to9,Age10to17,Age18to24,Age25to29,Age30to39,Age40to49,Age50to64,Age65Plus,EdLTHS,EdHSGrad,EdSomeCol,EdAssociate,EdBachelor,EdMaster,EdProfSchl,EdDoctorate,HHSz1Per,HHSz2Per,HHSz3Per,HHSz4Per,HHSz5PlusPer,HHIncU25K,HHInc25Kto50K,HHInc50Kto75K,HHInc75Kto100K,HHInc100Kto150K,HHInc150Kto250K,HHInc250KPlus,PopAsian,PopBlack,PopHispanic,PopMulti,PopNativeAmer,PopOther,PopPacIsl,PopWhite,HVal0to100K,HVal100Kto200K,HVal200Kto300K,HVal300Kto400K,HVal400Kto500K,HVal500Kto750K,HVal750KPlus,PopDens
S0001,0.138162854,0.111414427,0.113227535,8.17E-02,0.134923707,0.128832481,0.160429442,0.131358608,0.241934968,0.232822841,0.211753045,0.11775426,0.129967708,3.85E-02,8.38E-03,1.79E-03,0.263372805,0.283730969,0.151898734,0.132182232,0.168756927,0.22761477,0.273172724,0.217873184,0.114157382,0.116199032,3.74E-02,1.36E-02,6.06E-02,2.39E-02,0.431112107,2.16E-02,4.56E-03,1.28E-03,2.67E-03,0.454295435,0.073852539,0.115966797,0.223510742,0.301879883,0.180786133,0.097167969,0.006835938,4260.943672
S0002,0.138954244,0.112722548,0.100572392,7.48E-02,0.12108017,0.146960705,0.195455982,0.109421639,0.125223614,0.299506695,0.186913861,9.09E-02,0.126578848,3.58E-02,6.99E-03,2.71E-03,0.218165802,0.307428795,0.195262797,0.159244397,0.120093961,0.186845454,0.243319957,0.193207399,0.152295194,0.152490946,5.17E-02,2.01E-02,1.75E-02,1.59E-02,0.193581235,3.11E-02,8.71E-03,7.02E-04,2.88E-03,0.729695565,0.124956491,0.127915071,0.206578489,0.223807866,0.174730247,0.12913331,1.29E-02,3061.060073
S0003,0.108581987,9.13E-02,0.11348569,0.111414561,0.182909124,0.144938425,0.150248231,9.72E-02,0.321859984,0.172440305,0.266370962,6.05E-02,0.215125305,6.05E-02,1.51E-02,6.27E-03,0.306900693,0.287274117,0.14898728,0.116831359,0.139979254,0.355516733,0.256128187,0.156685047,8.33E-02,8.64E-02,4.08E-02,2.12E-02,0.223656023,3.01E-02,0.54197675,1.70E-02,1.84E-03,2.58E-03,8.02E-04,0.182080309,2.47E-02,6.53E-02,0.114869626,0.150105708,0.155461593,0.251444679,0.238195913,13740.92333
S0004,0.142757737,0.102581945,8.39E-02,6.24E-02,0.131660868,0.134041384,0.158762131,0.183922359,0.198361998,0.206661207,0.196287196,0.114004914,0.184711985,6.45E-02,1.38E-02,1.37E-02,0.274992839,0.316623699,0.140265444,0.12880741,0.139310608,0.206435596,0.249307744,0.181323403,0.124510646,0.143416404,6.53E-02,2.96E-02,5.71E-02,1.89E-02,0.377009558,2.31E-02,2.60E-03,2.45E-03,1.90E-03,0.516900428,0.175373687,0.112919935,9.52E-02,0.247891076,0.152582507,0.161462187,5.46E-02,2947.367203
S0005,0.112396033,8.37E-02,9.13E-02,0.103055642,0.183738825,0.146510697,0.165691856,0.113630298,0.16427156,0.158904024,0.257828957,5.72E-02,0.297040054,9.10E-02,3.63E-02,1.72E-02,0.355434985,0.303093167,0.145535786,0.1011995,9.48E-02,0.246575707,0.227107104,0.174472725,0.109178436,0.125801218,7.37E-02,4.32E-02,8.01E-02,0.17941134,0.30149111,3.32E-02,1.95E-03,5.75E-03,1.38E-03,0.396717556,2.19E-02,2.29E-02,7.08E-02,0.113448056,0.126377128,0.208777201,0.435855413,12124.74021
S0006,0.124271186,0.106169492,9.15E-02,0.07,0.136271186,0.152271186,0.194949153,0.124610169,0.141471706,0.277194561,0.200959808,0.103379324,0.119676065,4.57E-02,7.90E-03,5.25E-03,0.229728486,0.326461114,0.184721583,0.153704556,0.105384261,0.174321215,0.227887713,0.200460193,0.151311551,0.180487805,4.80E-02,1.76E-02,4.02E-02,2.17E-02,0.171559322,3.24E-02,5.53E-03,1.63E-03,4.54E-03,0.722372881,0.122939746,0.124290732,0.153336936,0.293704404,0.21858957,7.86E-02,8.51E-03,3624.191296
S0007,0.122797273,0.113456198,9.05E-02,6.43E-02,0.122418581,0.143069932,0.191719263,0.151754607,0.10360732,0.16679166,0.181828409,0.103157342,0.203614819,0.102482376,2.28E-02,1.23E-02,0.228354677,0.320712695,0.169404232,0.149846882,0.131611915,0.138571826,0.191745546,0.161400334,0.15388363,0.212834076,0.103702673,3.79E-02,8.14E-02,1.84E-02,0.271389261,3.13E-02,2.55E-03,1.67E-03,1.84E-03,0.591376133,2.30E-02,4.84E-02,8.02E-02,0.11458448,0.209025867,0.368629609,0.156081453,4582.324702
S0008,0.123948172,9.42E-02,0.11785463,0.106720068,0.185526177,0.142483617,0.146998377,8.23E-02,0.342596378,0.203033362,0.279401336,5.04E-02,0.208214104,3.73E-02,9.33E-03,4.05E-03,0.30514434,0.255557065,0.160215492,0.134667331,0.144415773,0.423121614,0.300556838,0.137051624,5.98E-02,5.33E-02,1.75E-02,8.66E-03,0.278332355,3.92E-02,0.589957788,1.15E-02,1.55E-03,2.96E-03,8.31E-04,7.57E-02,2.39E-02,7.12E-02,0.164885149,0.175574255,0.16988856,0.230839209,0.16374801,32736.45597
S0009,0.140008981,0.142373896,0.10549319,6.85E-02,0.11701841,0.146505014,0.186139799,9.39E-02,0.139922727,0.261554262,0.19117719,8.78E-02,0.134102802,6.14E-02,2.01E-02,1.04E-02,0.193511111,0.2832,0.184444444,0.159822222,0.178933333,0.186933333,0.183288889,0.213688889,0.139644444,0.172711111,7.13E-02,3.24E-02,4.84E-02,0.123428332,0.287600287,3.08E-02,4.73E-03,3.14E-03,2.10E-03,0.499790444,7.21E-02,0.383619551,0.31664465,0.131836196,5.28E-02,1.96E-02,2.34E-02,2778.396735
S0010,0.119275488,9.39E-02,0.106699359,8.64E-02,0.145851459,0.137388278,0.182077039,0.128450526,0.259448773,0.140830329,0.21444354,6.70E-02,0.191650192,8.08E-02,3.59E-02,2.05E-02,0.300906641,0.291595197,0.128889978,0.114677775,0.163930409,0.181083068,0.236461652,0.174222004,0.127664788,0.120803725,8.89E-02,7.13E-02,1.67E-02,1.73E-02,0.546777382,1.29E-02,5.77E-03,1.66E-03,7.12E-04,0.398181099,5.85E-02,3.68E-02,2.41E-02,2.83E-02,5.67E-02,0.205066345,0.590470446,3144.97604
S0011,2.45E-02,3.06E-02,2.65E-02,1.22E-02,3.06E-02,5.92E-02,0.324489796,0.489795918,0.290178571,0.310267857,3.35E-02,3.57E-02,5.36E-02,0.015625,0,2.01E-02,0.631410256,0.282051282,4.17E-02,2.24E-02,2.56E-02,0.403846154,0.304487179,0.150641026,8.65E-02,2.88E-02,1.28E-02,3.21E-03,4.29E-02,0.193877551,0.324489796,1.84E-02,2.04E-03,0,0,0.418367347,0,0.153846154,0.384615385,0.384615385,7.69E-02,0,0,117.3353408
S0012,0.166724602,0.128878074,0.114365169,7.34E-02,0.125358477,0.132745285,0.155079517,0.103328409,0.29564705,0.248582161,0.212491714,0.102231715,8.56E-02,2.12E-02,4.49E-03,3.31E-03,0.274452739,0.259774769,0.147285841,0.136403897,0.181829685,0.33164621,0.27597115,0.16791092,9.41E-02,9.81E-02,2.37E-02,8.48E-03,3.07E-02,4.40E-02,0.545952288,2.71E-02,6.74E-03,2.13E-03,2.09E-03,0.34128536,9.52E-02,0.156142004,0.413760603,0.233427584,6.85E-02,2.76E-02,5.34E-03,4978.936751
S0013,0.140148689,0.116352983,0.109001465,7.95E-02,0.141420004,0.137882431,0.162369068,0.113340519,0.203798075,0.219173309,0.222875561,7.82E-02,0.125833007,6.92E-02,1.27E-02,1.66E-02,0.247734395,0.27144914,0.166765478,0.140679258,0.173371729,0.241805708,0.280257474,0.185313797,0.115016516,0.118827814,4.48E-02,1.40E-02,2.01E-02,6.73E-02,0.470054998,2.04E-02,4.89E-03,1.55E-03,2.29E-03,0.413426195,7.06E-02,0.329185005,0.272575505,0.236758233,6.27E-02,2.41E-02,4.10E-03,4355.868194
S0014,0.142612411,0.121208038,6.38E-02,6.84E-02,0.169002156,0.188212196,0.173371574,7.33E-02,4.69E-02,8.37E-02,0.251359863,5.93E-02,0.405324936,0.161093616,6.27E-02,3.56E-02,0.205467839,0.305022783,0.190685599,0.202023948,9.69E-02,8.58E-02,9.02E-02,0.151478224,0.147610469,0.249920526,0.19015577,8.49E-02,0.406228947,1.55E-02,9.62E-02,4.23E-02,8.08E-04,1.85E-03,1.37E-03,0.435660526,2.02E-02,1.40E-02,5.83E-02,6.92E-02,0.109395446,0.365000436,0.363866353,5957.589556
